price_per_month,metro_nearest_time,total_area,floor,has_bath_flg,has_shower_flg,has_internet_flg,has_ac_flg,has_room_furniture_flg,has_kitchen_furniture_flg,has_dishwasher_flg,has_washer_flg,has_tv_flg,has_fridge_flg,utility_fixed_bill,utility_usage_bill_flg,utility_counters_extra_flg,deposit,comission,prepayment_months_cnt,rent_term_months_cnt,combined_bathrooms_cnt,separate_bathrooms_cnt,repair_cat,freight_elevators_cnt,passenger_elevators_cnt,parking_cat,heating_cat,balcony_cnt,loggia_cnt,has_garbage_chute_flg,has_concierge_flg,entrances_cnt,individual_project_flg,era_cat,house_type_monolithic_flg,house_type_monolithic_brick_flg,house_type_panel_flg,district_krasnogvardeysky_flg,district_krasnoselsky_flg,district_moskovsky_flg,district_nevsky_flg,district_other_flg,district_primorsky_flg,district_vyborgsky_flg
55000,1,35.0,0.52,0,1,1,0,1,1,1,1,1,1,10000,0,0,27500,0.5,1,12,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
200000,19,200.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,200000,0.5,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20500,4,15.0,0.25,0,1,1,0,1,1,0,1,1,1,5500,0,1,20500,1.0,1,12,1,0,1,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0
33990,11,22.0,0.73,1,1,1,0,1,1,1,1,1,1,3500,0,1,34000,0.0,1,3,1,0,2,2,2,2,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
44000,3,24.0,0.56,1,0,1,1,1,1,1,1,1,1,0,1,1,44000,0.0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0
34700,14,25.0,0.65,0,1,1,0,1,1,0,1,1,1,4000,0,1,18000,0.0,1,3,1,0,2,1,4,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
30000,10,30.37,1.0,1,0,1,0,1,1,0,1,0,1,2500,0,1,30000,0.0,1,12,1,0,2,1,1,1,3,0,1,1,0,14,0,4,1,0,0,0,0,0,0,0,0,1
25000,10,36.0,0.35,1,0,0,0,1,1,1,1,1,1,7000,0,1,25000,0.0,1,12,1,0,1,2,2,0,3,0,1,0,0,14,0,4,1,0,0,0,0,0,0,0,0,1
48000,3,23.0,0.89,0,1,1,1,1,1,0,1,1,1,0,1,1,48000,0.0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0
79900,15,50.0,0.33,1,0,1,1,1,1,1,1,1,1,6500,0,1,85000,0.0,1,3,1,0,3,1,2,2,3,0,1,0,0,11,1,4,0,0,0,0,0,0,0,1,0,0
25000,20,57.0,0.79,1,0,0,0,1,1,0,1,0,1,8000,0,1,25000,0.5,1,3,0,1,1,1,2,1,1,0,0,1,0,5,1,4,0,0,0,0,0,0,0,0,0,1
75000,3,61.2,0.2,1,0,1,1,1,1,1,1,1,1,9000,0,1,75000,0.0,1,3,0,1,2,0,0,1,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,1,0,0
30000,5,16.0,0.17,1,0,1,0,1,1,0,1,0,1,5000,0,0,20000,1.0,1,12,0,0,1,0,0,1,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0
60000,10,61.6,0.67,1,0,1,0,1,1,1,1,1,1,4000,0,1,60000,0.0,1,12,0,1,2,1,1,1,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0
40000,3,26.0,1.0,1,0,1,1,1,1,0,1,1,1,5000,0,1,20000,0.0,1,3,1,0,3,0,0,0,1,1,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0
43000,25,45.0,0.67,1,0,1,0,1,1,1,1,1,1,6000,0,1,20000,0.0,1,3,1,0,2,1,1,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0
33700,16,25.0,0.32,0,1,1,0,1,1,0,1,1,1,5000,0,1,18000,0.0,1,3,1,0,2,2,2,2,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0
35000,5,26.0,0.88,0,1,1,1,1,1,0,1,1,1,10000,0,1,45000,0.0,1,3,1,0,3,0,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0
35000,8,34.0,0.12,1,0,0,0,1,1,0,1,1,1,4500,0,1,35000,0.5,1,12,1,0,1,1,2,1,1,0,1,0,0,5,1,3,0,1,0,0,0,0,0,1,0,0
47000,17,28.9,0.82,0,1,1,1,1,1,1,1,1,1,5000,0,1,47000,0.5,1,12,1,0,2,1,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
50000,7,41.0,0.62,0,0,1,0,1,1,1,1,1,1,5000,0,1,50000,0.5,1,12,1,0,3,0,2,2,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0
49900,17,56.0,0.2,1,0,1,0,1,1,0,1,1,1,6900,0,1,50000,0.79,1,12,0,1,1,0,0,1,1,1,0,0,0,4,1,2,0,0,1,0,0,0,0,1,0,0
160000,16,71.48,0.75,0,0,1,1,1,1,1,1,1,1,10000,0,1,170000,0.7,1,12,1,0,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45000,10,63.6,0.88,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.0,1,12,0,1,1,1,2,1,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0
38500,22,42.0,0.17,1,0,0,0,0,1,0,1,0,0,5500,0,1,38500,0.5,1,12,0,1,1,0,2,0,1,0,1,1,0,3,0,3,0,0,0,0,0,0,1,0,0,0
55000,6,44.5,0.4,1,0,1,0,1,0,0,1,1,1,0,0,1,55000,0.0,1,12,0,1,2,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0
28000,5,34.0,0.81,1,0,0,0,1,1,1,1,0,1,6500,0,1,15000,0.0,1,12,1,0,1,2,2,0,1,0,1,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0
40000,6,34.0,0.47,1,0,1,0,1,1,0,1,1,1,0,1,1,40000,0.5,1,12,1,0,2,1,1,2,0,0,1,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0
35000,20,35.0,0.75,1,0,0,0,1,1,0,1,0,1,3500,0,1,35000,0.65,1,12,1,0,2,1,1,1,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0
30000,12,41.2,0.71,1,0,0,0,1,1,0,1,1,1,6000,0,1,30000,0.0,1,12,1,0,2,1,1,1,3,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,1
220000,24,107.8,0.6,0,0,1,0,1,1,1,1,1,1,15000,0,0,220000,1.0,1,12,1,1,3,1,1,2,3,0,0,0,0,19,1,4,0,1,0,0,0,0,0,1,0,0
50000,7,30.0,0.46,1,0,1,0,1,1,1,1,0,1,4000,0,1,50000,0.0,1,3,1,0,3,1,1,1,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0
55000,10,44.4,0.5,0,1,1,1,1,1,1,1,1,1,5000,0,1,60000,0.0,1,3,1,0,3,1,1,2,1,0,1,0,0,4,0,3,0,0,1,0,0,0,0,0,0,1
35000,5,33.2,0.21,1,0,1,0,1,1,0,1,1,1,2000,0,1,35000,0.5,1,3,1,0,2,1,1,2,0,0,1,0,0,5,1,4,0,1,0,0,0,0,0,0,1,0
32000,9,39.0,0.42,0,0,0,0,0,0,0,0,0,0,3500,0,1,32000,0.5,1,12,0,0,2,0,0,0,1,0,0,0,0,9,0,4,0,1,0,0,0,0,0,0,1,0
25000,13,45.6,0.14,1,0,0,0,1,1,0,1,0,1,4000,0,1,25000,0.0,1,12,1,0,1,1,1,0,1,1,0,0,0,9,1,4,0,1,0,0,0,0,0,0,0,1
